epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7496,1.54243,2.45577,0.94057,0.83567,0.77681,0.84018,0.62574,1.18152,0.96453,0.88626,0.000207023,0.000207023,0.000207023
2,55.8964,1.07998,0.78546,0.82631,0.93214,0.94497,0.96666,0.73511,1.06792,0.64623,0.87642,0.0004133,0.0004133,0.0004133
3,82.2342,1.01135,0.65879,0.81747,0.95712,0.97556,0.9792,0.78131,0.94243,0.53998,0.86174,0.000617515,0.000617515,0.000617515
4,111.215,0.94998,0.59525,0.81195,0.95762,0.98206,0.98307,0.801,0.87663,0.5036,0.85592,0.000615719,0.000615719,0.000615719
5,139.531,0.90692,0.56353,0.8073,0.9826,0.96216,0.98551,0.8035,0.88263,0.50111,0.85961,0.000612625,0.000612625,0.000612625
6,169.622,0.87267,0.54277,0.80501,0.96268,0.98424,0.98634,0.81791,0.8355,0.47985,0.85256,0.000609531,0.000609531,0.000609531
7,196.643,0.81257,0.50889,0.80065,0.97676,0.98229,0.98789,0.83665,0.79092,0.44974,0.85385,0.000606437,0.000606437,0.000606437
8,221.242,0.77178,0.49332,0.79945,0.97494,0.98585,0.98737,0.85611,0.73862,0.43581,0.84879,0.000603344,0.000603344,0.000603344
9,245.687,0.73336,0.4678,0.79688,0.9737,0.98904,0.98743,0.85417,0.68921,0.42535,0.84564,0.00060025,0.00060025,0.00060025
10,270.871,0.69992,0.4517,0.7947,0.97455,0.98856,0.98778,0.85817,0.65161,0.40241,0.84392,0.000597156,0.000597156,0.000597156
11,295.459,0.68235,0.4385,0.7934,0.97063,0.9879,0.99066,0.86496,0.64073,0.40041,0.84417,0.000594062,0.000594062,0.000594062
12,320.315,0.66278,0.42746,0.791,0.98156,0.98834,0.99109,0.86352,0.59749,0.38117,0.84198,0.000590969,0.000590969,0.000590969
13,345.514,0.63327,0.40854,0.78947,0.98121,0.98623,0.99182,0.85721,0.60991,0.36444,0.84436,0.000587875,0.000587875,0.000587875
14,369.604,0.6089,0.3971,0.78904,0.96953,0.98889,0.98951,0.87205,0.59403,0.36642,0.8412,0.000584781,0.000584781,0.000584781
15,393.936,0.61148,0.39333,0.78999,0.97358,0.99167,0.99081,0.87804,0.55743,0.35511,0.84068,0.000581687,0.000581687,0.000581687
16,418.072,0.58621,0.37952,0.78785,0.98445,0.99119,0.99036,0.87885,0.53435,0.33919,0.83874,0.000578594,0.000578594,0.000578594
17,442.446,0.57364,0.3786,0.78727,0.97848,0.99062,0.98857,0.88002,0.53772,0.3361,0.83898,0.0005755,0.0005755,0.0005755
18,468.253,0.56623,0.36621,0.78736,0.98298,0.99389,0.99158,0.88077,0.54601,0.32864,0.83856,0.000572406,0.000572406,0.000572406
